 The relative abundance of Holdemanella biformis between individuals with IBS and healthy people pooled in the GMrepo database  ,,
Holdemanella biformis,IBS,Control
,0.582883,1.97562
,0.668537,0.00621
,0.00258759,0.16589
,0.710477,0.26491
,2.39327,0.88395
,0.00311294,0.00227
,0.00200308,0.09623
,1.23536,0.35818
,0.132618,0.05511
,0.18396,0.10826
,0.0173044,0.52643
,0.554643,2.11079
,0.52223,1.8374
,0.855816,0.28593
,0.0662241,0.27282
,0.612829,1.47999
,0.561739,0.39977
,1.25604,0.39
,0.844512,2.12067
,2.1243,0.00132
,0.407585,2.23412
,1.61588,5.43631
,1.53391,0.24876
,1.07838,2.3328
,0.00245278,0.75828
,2.58168,0.14384
,1.28879,0.05739
,0.327728,0.48019
,0.448976,0.6195
,0.734033,0.74688
,0.00133096,4.4252
,2.01346,0.10223
,0.576551,0.07393
,3.35562,0.14739
,0.551854,1.37907
,0.296647,0.14538
,0.00205651,0.2971
,1.14761,0.18141
,1.69353,0.826
,0.0153639,0.009
,0.00217965,0.00828
,0.00278746,1.35737
,0.577429,1.27827
,0.606081,0.62478
,0.0034082,0.30534
,0.00176869,5.40944
,0.121981,0.25674
,1.44904,0.00221
,0.481918,0.00092
,0.00178098,1.68094
,0.00148179,0.00882
,0.709573,0.12466
,3.00402,0.28169
,0.00267508,0.35246
,0.00298169,1.31681
,0.555619,0.6844
,0.00147009,0.9586
,0.593212,5.00231
,2.03711,1.04535
,0.756603,0.22132
,0.16869,0.08026
,0.583323,0.34091
,0.00286279,1.90328
,0.634345,0.91219
,0.342798,0.22529
,2.9308,0.45556
,0.651583,0.45667
,0.544517,0.0007
,1.46665,0.46308
,0.00144762,0.37114
,0.0017696,0.0604
,0.00473223,0.04097
,0.0013545,0.63633
,0.00151284,0.01813
,0.249148,0.56972
,0.459501,0.82935
,0.35344,0.08853
,0.006744,0.00499
,0.00586768,0.20708
,0.0273708,0.01126
,0.111567,0.7589
,0.0178195,0.04697
,0.00940889,0.12129
,0.112386,0.23403
,0.0490606,0.11303
,0.0469034,0.08489
,0.221942,0.09907
,0.14627,0.21605
,0.117669,0.22464
,0.0780249,0.12498
,0.021478,0.04519
,0.0902297,0.10571
,0.0026837,0.11468
,0.00187635,0.20501
,0.0201329,0.17399
,0.0116727,0.0678
,0.00670601,0.04694
,0.26198,0.40629
,0.0197239,0.39056
,0.00696864,0.13052
,0.0153219,0.05546
,0.375609,0.14794
,0.0503066,0.20881
,0.0454015,0.2081
,0.00357782,0.04342
,0.0393348,0.11947
,0.803902,0.18138
,0.0312831,0.20525
,0.988142,0.13575
,0.019508,0.2092
,0.00182812,0.11746
,0.0119172,0.12394
,0.172236,0.28494
,0.0787293,0.42548
,0.608479,0.44223
,0.00762835,0.04495
,1.29603,0.06731
,0.0546199,0.04242
,0.00187638,0.06437
,0.215116,0.03728
,0.115882,0.06375
,0.00626429,0.22496
,0.0524785,0.15583
,0.0499879,0.23401
,0.108545,0.25632
,0.0526254,0.17796
,0.00520183,0.19271
,0.625284,0.1943
,0.0929414,0.11057
,0.0610376,0.10197
,0.0438276,0.20551
,0.372834,0.05304
,0.197565,0.04855
,0.111468,0.03608
,0.387867,0.03505
,0.192187,0.08846
,0.0426985,0.17055
,2.78174,0.17263
,0.287586,0.17821
,0.0275786,0.09226
,0.175073,0.2445
,0.0235045,0.13173
,0.211416,0.26621
,2.89303,0.1802
,0.222965,0.09461
,2.14179,0.07828
,0.0968471,0.13448
,0.151224,0.14341
,0.0585529,0.02694
,0.0448591,0.15239
,0.0591716,0.04902
,0.0577006,0.05113
,0.704772,0.47012
,0.954553,0.13489
,0.0802826,0.10475
,0.0938292,0.13075
,0.215884,0.11721
,0.0211703,0.07177
,0.0778024,0.1243
,0.013947,0.13773
,0.0778446,0.09646
,0.0096353,0.09136
,3.32683,0.19199
,0.142803,0.17713
,0.212157,0.40667
,0.0255265,0.02862
,0.287831,0.02092
,0.0392638,0.12346
,0.128465,0.1004
,8.25124,0.19497
,0.0296912,0.21265
,0.0899716,0.1215
,0.0569417,0.10924
,1.77536,0.17269
,0.0397725,0.16604
,0.164458,0.12097
,0.0113546,0.08379
,0.0243201,0.10749
,0.30392,0.19736
,0.0533305,0.23638
,0.0347403,0.10592
,0.373159,0.08759
,0.0570153,0.20077
,0.0231401,0.20173
,0.112021,0.08767
,0.0658569,0.26738
,0.00536136,0.26599
,0.0381359,0.63192
,0.115701,0.0443
,0.0364337,0.06299
,0.693087,0.26434
,0.307838,0.13013
,0.0424497,0.20902
,0.250935,0.20466
,0.086003,0.24049
,0.0894309,0.10244
,12.073,0.17063
,0.0493302,0.16874
,0.823981,0.10354
,0.15123,0.22923
,0.0687462,0.06908
,0.0609418,0.05215
,0.0492288,0.66813
,0.497316,0.617243
,0.115613,0.000704
,1.38029,1.85404
,0.178657,0.00173608
,2.21838,0.606449
,0.0455296,0.0115387
,0.0206313,0.00330251
,0.404731,0.00322134
,0.454282,0.00294126
,0.0358717,0.00701902
,0.0213502,0.00354007
,2.32039,0.00991021
,0.0226078,0.00502614
,0.0043902,0.0807952
,0.0848139,2.19579
,2.57107,0.22586
,0.517314,7.98697
,0.107643,0.00162
,0.0897398,0.00194
,3.21052,0.00318
,0.0295047,0.01133
,0.00685025,1.18442
,0.34137,1.10643
,0.0777378,1.19204
,0.495257,1.12635
,0.666142,0.48498
,0.00274934,0.21104
,0.00237954,1.81548
,0.00167314,0.03877
,0.3877,0.16184
,0.495784,3.80714
,11.9501,0.000544547
,0.0733987,0.600286
,0.00525762,0.00158516
,0.0321733,0.0080289
,0.0032551,0.0382417
,0.202215,1.85933
,0.381493,0.43276
,0.122026,0.82428
,0.137295,1.28671
,0.384305,0.0566
,0.478627,0.40633
,0.940466,0.44038
,0.00524027,1.1188
,0.495674,2.74118
,0.715036,2.60916
,2.18497,1.52302
,0.805445,0.01264
,0.352668,4.17877
,0.0108903,2.59549
,0.0581091,0.79534
,0.426678,0.19007
,0.116215,5.77488
,0.00626723,0.10299
,0.892274,0.97186
,0.137537,0.36278
,0.00305213,0.35547
,0.0214519,0.6794
,2.20204,1.91775
,0.24151,0.99592
,1.35398,0.14265
,0.0334397,18.7223
,0.0306912,1.07267
,0.00491437,0.12478
,0.00168606,9.20237
,0.0043448,2.67906
,0.00392403,0.83493
,0.419897,1.12109
,0.0368579,1.5817
,0.365656,4.86269
,0.00556143,4.52987
,0.0038549,0.36672
,0.00166742,0.76968
,0.290234,1.34847
,0.383006,1.18947
,0.0676923,0.41372
,0.00500776,0.69215
,0.0245821,1.85807
,0.588536,0.12119
,0.0038959,1.49912
,0.00302939,0.0105899
,0.00353857,1.01518
,0.514665,6.15282
,0.00304229,0.194219
,0.493261,0.00275854
,0.00307882,2.34495
,0.252645,0.00264648
,0.149574,0.450743
,0.00310926,0.00983413
,0.00481672,0.470017
,0.00430719,0.226259
,0.249781,11.8508
,0.09298,1.17654
,0.00399026,1.66559
,0.00143848,0.697147
,0.00576834,0.112599
,0.483092,0.00451845
,0.00453083,1.10622
,0.222658,2.08742
,1.15835,0.00291002
,0.195859,0.0301337
,0.354305,0.00252883
,0.299103,0.00293591
,0.306054,0.00529914
,0.35021,1.11123
,0.00342056,0.254734
,0.0177281,0.00235983
,0.00472478,0.878991
,0.0553185,0.665743
,0.00272688,0.00286631
,0.108303,0.0025645
,0.00508311,9.95329
,0.00926355,3.60261
,0.00389044,0.0056993
,0.0053506,0.906606
,0.66829,2.83632
,0.00552761,0.406132
,0.101744,4.93982
,0.491156,4.38629
,0.943951,0.282189
,0.0586338,5.02268
,0.00425423,1.03398
,0.00403812,0.00523725
,1.127,2.77621
